,area_id,area_type,year,Aggravated assault,All Crimes,Burglary,Larceny,Motor vehicle theft,Murder and nonnegligent manslaughter,Property crime,Rape (revised definition),Robbery,Violent crime,City,State
59940,1600000US5183680,region.place,2013,108.61865407319952,6932.703659976387,476.97756788665885,2611.5702479338847,160.56670602125146,0.0,3249.1145218417937,70.83825265643449,37.780401416765045,217.23730814639904,Waynesboro,VA
59941,1600000US5183680,region.place,2014,75.04338445663899,6458.421274799493,393.97776839735474,2556.1652830542653,121.94549974203838,4.690211528539937,3072.0885511936585,56.28253834247924,18.760846114159747,154.77698044181793,Waynesboro,VA
59949,1600000US5109816,region.place,2013,260.75619295958285,6853.352984524688,345.7853863159685,2618.89915537668,113.37225780851423,0.0,3078.056799501162,34.01167734255427,39.68029023297999,334.4481605351171,Bristol,VA
59950,1600000US5109816,region.place,2014,232.22060957910008,6229.317851959361,290.2757619738752,2397.677793904209,110.30478955007256,5.805515239477503,2798.2583454281566,29.027576197387514,46.444121915820034,313.4978229317852,Bristol,VA
59958,1600000US5118448,region.place,2013,85.45547769612033,9018.401412863897,279.15456047399306,3879.678687403863,102.54657323534437,5.697031846408022,4261.3798211132,79.7584458497123,74.06141400330428,244.9723693955449,Colonial Heights,VA
59959,1600000US5118448,region.place,2014,90.36484807409916,10256.410256410256,451.8242403704959,4365.751722579917,79.06924206483677,0.0,4896.645205015249,33.88681802778719,79.06924206483677,203.32090816672317,Colonial Heights,VA
59967,1600000US5120752,region.place,2013,143.68676285697182,7016.703586182123,167.6345566664671,2993.4742261869123,119.73896904747649,0.0,3280.8477519008557,23.947793809495302,59.869484523738244,227.50404119020538,Culpeper,VA
59968,1600000US5120752,region.place,2014,115.88156903644476,6002.665276087838,98.49933368097805,2601.541224868185,52.146706066400135,5.794078451822236,2752.1872646155625,46.35262761457789,75.3230198736891,243.351294976534,Culpeper,VA
59976,1600000US5165392,region.place,2013,434.2653182629388,5936.942296252231,446.16299821534795,1909.5776323616892,65.43723973825104,0.0,2421.177870315289,65.43723973825104,41.641879833432476,541.3444378346222,Radford,VA
59977,1600000US5165392,region.place,2014,425.70327331300695,5528.389806132428,425.70327331300695,1674.0493585687163,46.021975493298044,0.0,2145.7746073750213,126.56043260656963,40.269228556635795,592.5329344762124,Radford,VA
